barangay,location,precinct_id,registered_voters,actual_voters,turnout,contest_type,contest_name,candidate_name,votes,percentage
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"33. LACSON, PING (IND)",718,4.08
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"34. LAMBINO,  RAUL  (PDPLBN)",260,1.48
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"35. LAPID, LITO (NPC)",821,4.67
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"36. LEE, MANOY WILBERT (AKSYON)",45,0.26
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"37. LIDASAN, AMIRAH (MKBYN)",24,0.14
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"38. MARCOLETA, RODANTE (IND)",336,1.91
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"39. MARCOS, IMEE R. (NP)",590,3.36
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"40. MARQUEZ, NORMAN (IND)",49,0.28
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"41. MARTINEZ, ERIC (IND)",47,0.27
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"42. MATA, DOC MARITES (IND)",82,0.47
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"43. MATULA,  ATTY.  SONNY (WPP)",174,0.99
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"44. MAZA, LIZA (MKBYN)",174,0.99
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"45. MENDOZA, HEIDI (IND)",333,1.89
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"46. MONTEMAYOR,  JOEY  (IND)",38,0.22
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"47. MUSTAPHA, SUBAIR (WPP)",10,0.06
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"48. OLIVAR, JOSE JESSIE (IND)",26,0.15
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"49. ONG, DOC WILLIE (AKSYON)",331,1.88
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"50. PACQUIAO, MANNY PACMAN (PFP)",476,2.71
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"51. PANGILINAN, KIKO (LP)",724,4.12
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"52. QUERUBIN,  ARIEL PORFIRIO (NP)",108,0.61
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"53. QUIBOLOY, APOLLO (IND)",74,0.42
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"54. RAMOS, DANILO (MKBYN)",198,1.13
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"55. REVILLAME, WILLIE WIL (IND)",501,2.85
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"56. RODRIGUEZ, ATTY. VIC (IND)",128,0.73
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"57. SAHIDULLA, NUR-ANA (IND)",16,0.09
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"58. SALVADOR, PHILLIP IPE (PDPLBN)",213,1.21
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"59. SOTTO, TITO (NPC)",901,5.13
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"60. TAPADO, MICHAEL BONGBONG (PM)",27,0.15
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"61. TOLENTINO, FRANCIS TOL (PFP)",282,1.6
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"62. TULFO, BEN BITAG (IND)",763,4.34
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"63. TULFO, ERWIN (LAKAS)",918,5.22
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"64. VALBUENA, MAR MANIBELA (IND)",37,0.21
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"65. VERCELES, LEANDRO (IND)",8,0.05
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"66. VILLAR, CAMILLE (NP)",633,3.6
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,1 4PS,61,3.85
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,2 PPP,3,0.19
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,3 FPJ PANDAY BAYANIHAN,353,22.27
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,4 KABATAAN,14,0.88
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,5 DUTERTE YOUTH,27,1.7
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,6 ML,3,0.19
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,7 PBBM,4,0.25
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,8 P3PWD,4,0.25
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,9 MURANG KURYENTE,7,0.44
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,10 BICOL SARO,3,0.19
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,11 IPATUPAD,2,0.13
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,12 PATROL,0,0.0
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,13 JUAN PINOY,0,0.0
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,14 ARTE,1,0.06
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,15 WIFI,7,0.44
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,16 MAAGAP,2,0.13
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,17 UNITED SENIOR CITIZENS,7,0.44
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,18 EPANAW SAMBAYANAN,3,0.19
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,19 AKO PADAYON,0,0.0
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,20 TUCP,0,0.0
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,21 ACT TEACHERS,14,0.88
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,22 1PACMAN,2,0.13
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,23 TGP,1,0.06
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,24 DUMPER PTDA,0,0.0
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,25 ANAKALUSUGAN,0,0.0
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,26 AKSYON DAPAT,3,0.19
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,27 BHW,0,0.0
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,28 SULONG DIGNIDAD,0,0.0
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,29 BATANG QUIAPO,1,0.06
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,30 PBA,2,0.13
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,31 GILAS,1,0.06
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,32 AKO ILOCANO AKO,25,1.58
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,33 PAMILYANG MAGSASAKA,3,0.19
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,34 CLICK PARTY,0,0.0
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,35 ABANTE BISDAK,0,0.0
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,36 MANILA TEACHERS,4,0.25
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,37 PAMANA,0,0.0
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,38 NANAY,2,0.13
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,39 KM NGAYON NA,72,4.54
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,40 BABAE AKO,5,0.32
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,41 ARISE,0,0.0
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,42 MAGDALO,3,0.19
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,43 APEC,1,0.06
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,44 MAGBUBUKID,6,0.38
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,45 SSS-GSIS PENSYONADO,3,0.19
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,46 GABRIELA,1,0.06
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,47 TINGOG,3,0.19
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,48 APAT-DAPAT,4,0.25
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,49 AHON MAHIRAP,0,0.0
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,50 UGB,6,0.38
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,51 AKBAYAN,85,5.36
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,52 AGIMAT,1,0.06
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,53 PHILRECA,13,0.82
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,54 KAPUSO PM,0,0.0
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,55 ILOCANO DEFENDERS,1,0.06
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,56 1-RIDER PARTY-LIST,7,0.44
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,57 TICTOK,0,0.0
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,59 BAYAN MUNA,1,0.06
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,60 ANG PROBINSIYANO,2,0.13
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,61 BANAT,2,0.13
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,62 SBP,1,0.06
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,63 BUHAY,0,0.0
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,64 TULUNGAN TAYO,50,3.15
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,65 SAGIP,2,0.13
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,66 BTS BAYANING TSUPER,0,0.0
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,67 VENDORS,0,0.0
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,68 ACT-CIS,44,2.78
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,69 AKTIBONG KAAGAPAY,2,0.13
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,70 ASENSO PINOY,1,0.06
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,71 SOLO PARENTS,2,0.13
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,72 ANG KOMADRONA,0,0.0
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,73 PROMDI,0,0.0
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,74 PUSONG PINOY,1,0.06
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,75 KUSUG TAUSUG,0,0.0
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,76 DAMAYANG FILIPINO,0,0.0
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,77 MPBL,1,0.06
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,78 ANGAT,0,0.0
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,79 KALINGA,21,1.32
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,80 BOSES PARTY-LIST,5,0.32
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,81 ARANGKADA PILIPINO,1,0.06
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,82 AANGAT TAYO,1,0.06
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,83 OFW,7,0.44
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,PARTY LIST of PHILIPPINES,84 BIDA KATAGUMPAY,0,0.0
